,date,winLoseNum,sumPointsNum,homeOrAwayPoints,halftime,hendikep,pointsInterval,halftimeAndRegularTime,winByPoints,winnerAndPoints,outcome,invest,prize,net_value,balance
0,2021.12.28.,2,0,1,0,0,0,0,0,0,1,300,1200,900,900
1,2021.12.29.,4,0,0,0,0,0,0,0,0,1,500,1600,1100,2000
2,2021.12.30.,4,0,0,0,0,0,0,0,0,0,300,1200,-300,1700
3,2021.12.31.,3,0,1,0,0,0,0,0,0,1,200,740,540,2240
4,2022.01.02.,6,0,0,0,0,0,0,0,0,0,200,1830,-200,2040
5,2022.01.02.,6,0,0,0,0,0,0,0,0,0,200,1435,-200,1840
6,2022.01.03.,5,0,0,0,0,0,0,2,0,0,200,1675,-200,1640
7,2022.01.03.,4,0,0,0,0,0,0,0,0,0,200,4040,-200,1440
8,2022.01.04.,4,0,0,0,0,0,0,0,0,0,200,813,-200,1240
9,2022.01.04.,4,0,0,0,0,0,0,0,0,1,200,1137,937,2177
10,2022.01.04.,4,0,1,0,0,0,0,0,0,0,200,4415,-200,1977
11,2022.01.05.,5,0,0,0,0,0,0,0,0,0,400,1600,-400,1577
12,2022.01.05.,1,0,0,0,0,0,0,0,0,0,100,370,-100,1477
13,2022.01.06.,4,0,0,0,0,0,0,0,0,0,200,871,-200,1277
14,2022.01.07.,3,0,0,0,0,0,0,0,0,0,100,433,-100,1177
15,2022.01.07.,3,0,0,0,0,0,0,0,0,0,100,555,-100,1077
16,2022.01.07.,8,0,0,0,0,0,0,0,0,0,100,1477,-100,977
